,sample,features,std,score,time
277,30000,6,5.0,0.9670666666666666,0.140294
278,30000,6,6.0,0.9300666666666667,0.12191
279,30000,6,7.0,0.8884666666666666,0.117563
280,30000,7,2.0,0.9999,0.384761
281,30000,7,2.4,0.9986666666666667,0.420322
282,30000,7,2.8,0.9948666666666667,0.385832
283,30000,7,3.0,0.9918,0.399704
284,30000,7,4.0,0.9667333333333333,0.297461
285,30000,7,5.0,0.9299333333333333,0.191065
286,30000,7,6.0,0.8885666666666666,0.155697
287,30000,7,7.0,0.8445666666666667,0.158
288,40000,2,2.0,0.71045,0.124669
289,40000,2,2.4,0.680925,0.169545
290,40000,2,2.8,0.653575,0.116688
291,40000,2,3.0,0.6408,0.135638
292,40000,2,4.0,0.585775,0.129653
293,40000,2,5.0,0.544,0.136634
294,40000,2,6.0,0.513875,0.159573
295,40000,2,7.0,0.490925,0.122672
296,40000,3,2.0,0.974525,0.282826
297,40000,3,2.4,0.9523,0.231093
298,40000,3,2.8,0.9261,0.186645
299,40000,3,3.0,0.9121,0.206081
300,40000,3,4.0,0.8431,0.15305
301,40000,3,5.0,0.7806,0.135294
302,40000,3,6.0,0.726125,0.132175
303,40000,3,7.0,0.680875,0.14735
304,40000,4,2.0,0.999825,0.39004
305,40000,4,2.4,0.998475,0.345881
306,40000,4,2.8,0.994425,0.281241
307,40000,4,3.0,0.9912,0.235141
308,40000,4,4.0,0.954475,0.213415
309,40000,4,5.0,0.899425,0.185825
310,40000,4,6.0,0.839925,0.177397
311,40000,4,7.0,0.786425,0.171795
312,40000,5,2.0,1.0,0.334738
313,40000,5,2.4,0.999675,0.32176
314,40000,5,2.8,0.998725,0.348069
315,40000,5,3.0,0.9969,0.242852
316,40000,5,4.0,0.97505,0.177466
317,40000,5,5.0,0.932175,0.207898
318,40000,5,6.0,0.87895,0.2302
319,40000,5,7.0,0.8269,0.177772
320,40000,6,2.0,1.0,0.325931
321,40000,6,2.4,0.999925,0.434732
322,40000,6,2.8,0.999675,0.323735
323,40000,6,3.0,0.99915,0.358625
324,40000,6,4.0,0.99055,0.196396
325,40000,6,5.0,0.9659,0.16704
326,40000,6,6.0,0.929175,0.19528
327,40000,6,7.0,0.8853,0.17234
328,40000,7,2.0,0.999825,0.492641
329,40000,7,2.4,0.99845,0.615697
330,40000,7,2.8,0.99435,0.61558
331,40000,7,3.0,0.9914,0.633605
332,40000,7,4.0,0.966225,0.432183
333,40000,7,5.0,0.9306,0.27127
334,40000,7,6.0,0.890275,0.199901
335,40000,7,7.0,0.846975,0.201988
336,50000,2,2.0,0.70926,0.250123
337,50000,2,2.4,0.68034,0.217116
338,50000,2,2.8,0.65354,0.203516
339,50000,2,3.0,0.64042,0.159232
340,50000,2,4.0,0.58512,0.174102
341,50000,2,5.0,0.54356,0.19133
342,50000,2,6.0,0.51314,0.189528
343,50000,2,7.0,0.48988,0.191204
344,50000,3,2.0,0.97354,0.381562
345,50000,3,2.4,0.9514,0.27503
346,50000,3,2.8,0.9241,0.307178
347,50000,3,3.0,0.9109,0.269542
348,50000,3,4.0,0.84234,0.228232
349,50000,3,5.0,0.7782,0.191041
350,50000,3,6.0,0.72474,0.190433
351,50000,3,7.0,0.67852,0.171415
352,50000,4,2.0,0.99984,0.451792
353,50000,4,2.4,0.99878,0.353546
354,50000,4,2.8,0.9947,0.346099
355,50000,4,3.0,0.99132,0.308609
356,50000,4,4.0,0.95528,0.246713
357,50000,4,5.0,0.898,0.252475
358,50000,4,6.0,0.8392,0.266265
359,50000,4,7.0,0.78614,0.205451
360,50000,5,2.0,1.0,0.498782
361,50000,5,2.4,0.99964,0.541548
362,50000,5,2.8,0.99848,0.380678
363,50000,5,3.0,0.99678,0.305953
364,50000,5,4.0,0.97524,0.282974
365,50000,5,5.0,0.931,0.256314
366,50000,5,6.0,0.8783,0.267284
367,50000,5,7.0,0.82568,0.222194
368,50000,6,2.0,1.0,0.39891
369,50000,6,2.4,0.99998,0.516538
370,50000,6,2.8,0.9997,0.457771
371,50000,6,3.0,0.99916,0.464759
372,50000,6,4.0,0.99074,0.295241
373,50000,6,5.0,0.96716,0.23437
374,50000,6,6.0,0.93,0.220414
375,50000,6,7.0,0.88652,0.262075
376,50000,7,2.0,0.9998,0.741646
377,50000,7,2.4,0.99868,0.75697
378,50000,7,2.8,0.99472,0.745041
379,50000,7,3.0,0.99194,0.780688
380,50000,7,4.0,0.96792,0.553771
381,50000,7,5.0,0.93328,0.44581
382,50000,7,6.0,0.89202,0.305181
383,50000,7,7.0,0.84904,0.295177
